StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Sub Scale 2 _1,Sub Scale 2 _2,Sub Scale 2 _3,Sub Scale 2 _4,Sub Scale 2 _5,Sub Scale 2 _6,Sub Scale 2 _7,Sub Scale 2 _8," _1"," _2"," _3"," _4"," _5"," _6"," _7"," _8",Q8,Q9,Q10,Q11,Q12,Q13,SC0
2023-11-21 15:25:24,2023-11-21 15:33:04,IP Address,99.178.86.145,100,459,True,2023-11-21 15:33:05,R_3j8xZ6pIEfip08G,,,,,32.5817,-97.1399,anonymous,EN,,4,60,60,3,5’3”,173,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,No Military Experience,Moderate,Democrat,4 year degree,Hispanic or Latino,80
2023-11-21 15:23:03,2023-11-21 15:34:08,IP Address,174.193.132.239,100,665,True,2023-11-21 15:34:09,R_2wakgjmbdSa31W2,,,,,34.0614,-118.3072,anonymous,EN,6,3,Not sure,Not sure,3,71,195,Neutral,Slightly Agree,Slightly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Male,No Military Experience,Slightly Conservative,Independent,High school,Hispanic or Latino,78
2023-11-21 16:57:41,2023-11-21 17:03:04,IP Address,71.138.169.115,100,322,True,2023-11-21 17:03:04,R_31mcy2Y6YC48nOs,,,,,29.3959,-98.4761,anonymous,EN,5,2,50,80,0,5 ft 8 in,287,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Male,No Military Experience,Liberal,Democrat,Post Grad,Hispanic or Latino,81
2023-11-21 17:01:24,2023-11-21 17:06:24,IP Address,216.49.225.202,100,300,True,2023-11-21 17:06:25,R_1rDQaQtzm5rdw8f,,,,,37.5103,-94.8599,anonymous,EN,5,2,205,235,8,74,232,Slightly Disagree,Somewhat Agree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Somewhat Disagree,Somewhat Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Somewhat Agree,Somewhat Agree,Slightly Disagree,Male,No Military Experience,Moderate,Independent,Post Grad,White,78
2023-11-21 17:09:41,2023-11-21 17:13:44,IP Address,104.28.97.22,100,243,True,2023-11-21 17:13:45,R_XoIxz0QDiO9ZSy5,,,,,32.7616,-97.1816,anonymous,EN,6,3,220,300,3,70,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Male,Veteran,Slightly Conservative,Republican,Post Grad,,67
2023-11-21 18:40:14,2023-11-21 18:43:30,IP Address,47.201.145.10,100,196,True,2023-11-21 18:43:31,R_2CvN9kTZ7fH6CiW,,,,,28.1412,-82.5931,anonymous,EN,,5,285,300,25,72,200,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Slightly Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No Military Experience,Moderate,Independent,4 year degree,White,87
2023-11-21 20:30:07,2023-11-21 20:35:51,IP Address,99.76.237.122,100,343,True,2023-11-21 20:35:52,R_3kLdiKkkPkoo7F4,,,,,29.3627,-98.4886,anonymous,EN,6,7,150,50,0,70”,178,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Slightly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Male,No Military Experience,Moderate,Democrat,4 year degree,Hispanic or Latino,80
2023-11-21 22:09:38,2023-11-21 22:15:14,IP Address,47.156.25.57,100,335,True,2023-11-21 22:15:15,R_2419sL15Xeqcf2q,,,,,33.6056,-117.2662,anonymous,EN,8,7,225,Idk bro,10,70,170,Somewhat Disagree,Slightly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Slightly Disagree,Strongly Disagree,Somewhat Agree,Slightly Agree,Slightly Agree,Slightly Agree,Male,Veteran,Moderate,Republican,2 year degree,Hispanic or Latino,81
2023-11-21 22:39:10,2023-11-21 22:47:36,IP Address,70.117.198.235,100,505,True,2023-11-21 22:47:36,R_r9dhOXNpPHoCb8R,,,,,26.2148,-98.231,anonymous,EN,,,,,,,,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neutral,Somewhat Agree,Strongly Agree,Somewhat Agree,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Female,No Military Experience,Moderate,,Post Grad,Hispanic or Latino,80
2023-11-22 15:39:24,2023-11-22 15:43:05,IP Address,104.33.240.224,100,221,True,2023-11-22 15:43:06,R_3GdB6wV1IupFGbU,,,,,33.9263,-118.0034,anonymous,EN,8,"5 days ","No idea ",300+lbs,None,5'2,"No idea ",Neutral,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,No Military Experience,Slightly Liberal,Independent,2 year degree,Hispanic or Latino,90
2023-11-23 22:52:32,2023-11-23 22:55:20,IP Address,73.115.69.132,100,168,True,2023-11-23 22:55:20,R_2fBYXHKQDcgOQnK,,,,,29.7545,-95.4093,anonymous,EN,,2,50,110,0,65,180,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,No Military Experience,Very Liberal,Democrat,4 year degree,Black or African American,83
2023-11-23 22:54:07,2023-11-23 23:00:31,IP Address,76.149.89.100,100,383,True,2023-11-23 23:00:32,R_1IyDGHRmTRkWtcq,,,,,38.581,-121.4939,anonymous,EN,7,5,175,315,16,71,175,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Strongly Disagree,Neutral,Slightly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Slightly Agree,Male,Veteran,Moderate,Independent,"Some college, no degree",White,74
2023-11-26 20:19:00,2023-11-26 20:23:32,IP Address,172.56.196.198,100,271,True,2023-11-26 20:23:33,R_CfziTRUXZ3OqmHf,,,,,42.415,-71.0527,anonymous,EN,4,5,60,115,0,5’5,145,Neutral,Somewhat Disagree,Slightly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,No Military Experience,Moderate,Independent,High school,Black or African American,82
2023-11-26 20:42:19,2023-11-26 20:45:56,IP Address,73.167.118.40,100,217,True,2023-11-26 20:45:56,R_1FzwMZqFVYfx3qT,,,,,42.3649,-71.0987,anonymous,EN,5,0,50,70,0,62,140,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Slightly Agree,Strongly Agree,Slightly Agree,Somewhat Agree,Slightly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Female,No Military Experience,Liberal,Democrat,"Some college, no degree",Black or African American,69
2023-11-26 23:39:24,2023-11-26 23:41:48,IP Address,65.112.8.28,100,144,True,2023-11-26 23:41:50,R_2tyWUCXgkBBETLi,,,,,42.3737,-71.1284,anonymous,EN,6,4,100,100,1,66,170,Somewhat Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Somewhat Agree,Somewhat Agree,Slightly Disagree,Slightly Disagree,Strongly Disagree,Slightly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Slightly Disagree,Female,No Military Experience,Moderate,Republican,"Some college, no degree",Hispanic or Latino,79
2023-11-27 08:34:20,2023-11-27 08:43:33,IP Address,65.112.8.28,100,552,True,2023-11-27 08:43:34,R_bQ9A7JVQgFmSb7j,,,,,42.3737,-71.1284,anonymous,EN,9,6,160,"I don’t know ",About 25,70,176,Somewhat Disagree,Slightly Disagree,Somewhat Disagree,Slightly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Slightly Disagree,Neutral,Slightly Disagree,Neutral,Neutral,Neutral,Neutral,Female,No Military Experience,Liberal,Independent,High school,Black or African American,72
2023-11-27 13:51:24,2023-11-27 13:55:13,IP Address,166.199.151.106,100,229,True,2023-11-27 13:55:14,R_qztuercB8DopXpL,,,,,34.0003,-118.2978,anonymous,EN,5,5,95,225,1,70,158,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly Agree,Slightly Agree,Neutral,Neutral,Neutral,Neutral,Female,Veteran,Slightly Conservative,Independent,"Some college, no degree",White,77
2023-11-20 18:52:41,2023-11-20 18:57:07,IP Address,200.85.103.140,47,265,False,2023-11-27 18:57:08,R_01UKCgbwBE39BnP,,,,,,,anonymous,EN,7,4,110,225,1,67,190,,,,,,,,,,,,,,,,,,,,,,,
2023-11-20 19:20:23,2023-11-20 19:22:37,IP Address,174.243.248.111,53,133,False,2023-11-27 19:22:38,R_BRrAcLC7aQz6HCx,,,,,,,anonymous,EN,,,,,,,,Neutral,Somewhat Agree,Somewhat Disagree,Slightly Agree,Strongly Agree,Somewhat Agree,,,,,,,,,,,Female,No Military Experience,Moderate,Republican,High school,Hispanic or Latino,40
2023-11-27 21:10:17,2023-11-27 21:14:33,IP Address,172.59.137.255,100,255,True,2023-11-27 21:14:33,R_0N8yQtcTk6MoWzv,,,,,40.4339,-79.9996,anonymous,EN,,6,265,445,At least 23 ;),69,185,Neutral,Slightly Agree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral,Slightly Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Male,Veteran,Moderate,Independent,"Some college, no degree",White,75
2023-11-27 21:12:48,2023-11-27 21:16:45,IP Address,65.112.8.25,100,237,True,2023-11-27 21:16:46,R_2Vxcb4Z0AOQB5M2,,,,,42.3737,-71.1284,anonymous,EN,4,2,120,190,6,67,120,Slightly Agree,Slightly Agree,Slightly Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Male,No Military Experience,Slightly Conservative,Independent,"Some college, no degree",Hispanic or Latino,86
2023-11-27 21:15:36,2023-11-27 21:19:40,IP Address,107.127.28.31,100,244,True,2023-11-27 21:19:41,R_2z6fL6DJsEKpAgH,,,,,28.3939,-81.4216,anonymous,EN,,6-7 days,130,150,8,69,147,Slightly Agree,Somewhat Disagree,Slightly Agree,Slightly Disagree,Strongly Agree,Slightly Disagree,Slightly Disagree,Neutral,Strongly Agree,Slightly Disagree,Somewhat Disagree,Slightly Disagree,Somewhat Disagree,Somewhat Agree,Slightly Disagree,Somewhat Disagree,Female,Veteran,Slightly Conservative,Republican,2 year degree,White,72
2023-11-27 21:18:41,2023-11-27 21:20:56,IP Address,98.229.200.23,100,134,True,2023-11-27 21:20:57,R_3eFYcF4SwJPdhW9,,,,,42.3649,-71.0987,anonymous,EN,,5,225,275,3,6’0,199,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Male,Veteran,Slightly Conservative,Independent,"Some college, no degree",Hispanic or Latino,55
2023-11-27 21:17:07,2023-11-27 21:21:28,IP Address,174.243.246.223,100,261,True,2023-11-27 21:21:29,R_3dzyKvFWOeplVgl,,,,,33.9225,-117.5472,anonymous,EN,5,2,50,80,0,5’2,126,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,,,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,No Military Experience,Liberal,Democrat,Did NOT graduate high school,Hispanic or Latino,73
2023-11-27 21:16:30,2023-11-27 21:22:28,IP Address,73.62.140.250,100,357,True,2023-11-27 21:22:28,R_3dMoAvkB5qZ0ojY,,,,,44.9509,-93.3366,anonymous,EN,7,6,80,225,0,64,130,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Female,No Military Experience,Very Liberal,Democrat,Post Grad,White,73
2023-11-27 21:11:56,2023-11-27 21:24:24,IP Address,71.244.240.211,100,747,True,2023-11-27 21:24:25,R_3KJV7R0G8YX9u3x,,,,,39.1244,-76.495,anonymous,EN,,5,700,600,1,69,300,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Female,Active Duty,Very Liberal,Democrat,Post Grad,Black or African American,92
2023-11-27 21:13:33,2023-11-27 21:28:06,IP Address,35.151.9.140,100,873,True,2023-11-27 21:28:06,R_1LjlZ4aY1s1oLJ5,,,,,33.5098,-86.809,anonymous,EN,,3,150,250,20,62,115,Slightly Agree,Slightly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Slightly Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Male,Veteran,Moderate,,High school,Asian,76
2023-11-27 21:21:28,2023-11-27 21:28:25,IP Address,172.56.232.181,100,416,True,2023-11-27 21:28:25,R_3oGa10tNk4AjfMi,,,,,34.024,-118.1965,anonymous,EN,5,"5-7 days ",30lbs,90lbs,0,66,164,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Agree,Somewhat Agree,Neutral,Slightly Disagree,Somewhat Agree,Slightly Agree,Female,Veteran,Moderate,Democrat,4 year degree,Hispanic or Latino,103
2023-11-27 21:31:26,2023-11-27 21:35:05,IP Address,67.134.205.31,100,218,True,2023-11-27 21:35:06,R_2TyJLjwjMzCATfI,,,,,42.3737,-71.1284,anonymous,EN,6,4,125,110,1,77,200,Slightly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Slightly Disagree,Slightly Agree,Strongly Agree,Somewhat Agree,Male,No Military Experience,Slightly Conservative,Independent,4 year degree,White,80
2023-11-27 21:36:32,2023-11-27 21:38:51,IP Address,65.112.8.18,100,139,True,2023-11-27 21:38:52,R_2EAeULlwHlcX33H,,,,,42.3737,-71.1284,anonymous,EN,1,0,0,0,0,63,120,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,No Military Experience,Very Liberal,Democrat,"Some college, no degree",Black or African American,71
2023-11-27 21:45:52,2023-11-27 21:48:04,IP Address,67.134.205.29,100,132,True,2023-11-27 21:48:05,R_553vrYIphPJoQy5,,,,,42.3737,-71.1284,anonymous,EN,8,6,90,,8,66,120,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Female,No Military Experience,Moderate,Democrat,"Some college, no degree",White,67
2023-11-27 21:50:13,2023-11-27 21:54:42,IP Address,174.100.224.18,100,268,True,2023-11-27 21:54:42,R_1E0R69rAfp5wfev,,,,,39.9052,-82.9721,anonymous,EN,6,3,105,N/A,0,68,168,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,Veteran,Liberal,,"Some college, no degree",White,73
2023-11-27 22:07:38,2023-11-27 22:11:40,IP Address,108.147.2.5,100,242,True,2023-11-27 22:11:41,R_OBY719Vmpqd82J3,,,,,37.5503,-77.3942,anonymous,EN,6,4,225,300,15,71,165,Strongly Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Slightly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Male,Veteran,Slightly Conservative,Independent,2 year degree,White,77
2023-11-27 22:42:11,2023-11-27 22:44:28,IP Address,204.116.12.203,100,136,True,2023-11-27 22:44:29,R_UYGzTc5LHja2W4N,,,,,34.6895,-77.3611,anonymous,EN,8,5,160,260,17,65,135,Somewhat Disagree,Slightly Disagree,Somewhat Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Somewhat Agree,Slightly Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Neutral,Slightly Agree,Somewhat Agree,Somewhat Agree,Female,Active Duty,Slightly Liberal,Independent,2 year degree,Hispanic or Latino,71
2023-11-27 22:51:19,2023-11-27 22:54:18,IP Address,76.130.237.87,100,179,True,2023-11-27 22:54:19,R_12cmEHC8wUcSX4C,,,,,39.7277,-104.9815,anonymous,EN,7,7,315,385,22,69,192,Somewhat Agree,Somewhat Disagree,Slightly Disagree,Neutral,Somewhat Agree,Somewhat Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Slightly Disagree,Strongly Agree,Slightly Disagree,Male,Active Duty,Moderate,Independent,Post Grad,White,81
2023-11-27 23:22:22,2023-11-27 23:25:11,IP Address,76.33.8.144,100,169,True,2023-11-27 23:25:12,R_2tnXHIPaY5ocH4f,,,,,33.1458,-117.3318,anonymous,EN,7,5,135,225,9,67,150,Slightly Agree,Strongly Disagree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Female,Active Duty,Slightly Liberal,Independent,2 year degree,Hispanic or Latino,89
2023-11-27 23:43:23,2023-11-27 23:48:44,IP Address,203.105.74.24,100,321,True,2023-11-27 23:48:45,R_3HOgiyf3RsDZZAX,,,,,35.2847,139.6624,anonymous,EN,,5 days a week,230,295,19,71,195,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Slightly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Neutral,Male,Active Duty,Slightly Conservative,Independent,"Some college, no degree",White,90
2023-11-27 23:46:02,2023-11-27 23:51:55,IP Address,166.196.68.82,100,352,True,2023-11-27 23:51:55,R_QbPpcQyzrssjHAR,,,,,21.3571,-157.9258,anonymous,EN,5,"7 days ",115,185,0,66,158,Slightly Agree,Neutral,Slightly Disagree,Neutral,Strongly Agree,Slightly Disagree,Slightly Agree,Neutral,Slightly Agree,,,,Neutral,Slightly Disagree,Neutral,Neutral,Female,Active Duty,Very Conservative,Republican,High school,White,67
2023-11-27 23:49:33,2023-11-27 23:54:51,IP Address,67.181.169.173,100,317,True,2023-11-27 23:54:52,R_30oDqdsXIAxNK8s,,,,,38.581,-121.4939,anonymous,EN,6,5,80,225,5,66,150,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Slightly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Neutral,Slightly Disagree,Slightly Disagree,Slightly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Female,Veteran,Slightly Conservative,Independent,"Some college, no degree",Hispanic or Latino,85
2023-11-28 00:17:10,2023-11-28 00:21:10,IP Address,1.145.105.172,100,239,True,2023-11-28 00:21:11,R_tGPqawcFnPtGNKV,,,,,-33.8715,151.2006,anonymous,EN,7,7,240,400,16,5’11,160,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neutral,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Somewhat Agree,Somewhat Agree,Slightly Agree,Neutral,Slightly Disagree,Neutral,Slightly Disagree,Male,Active Duty,Moderate,Independent,Post Grad,White,84
2023-11-28 00:19:36,2023-11-28 00:28:18,IP Address,47.153.164.253,100,521,True,2023-11-28 00:28:18,R_2dKffeVFbXESSnh,,,,,33.6647,-117.9663,anonymous,EN,10,6,365,655,32,67,195,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Slightly Agree,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Male,Veteran,Slightly Liberal,Independent,"Some college, no degree",Hispanic or Latino,82
2023-11-28 01:23:20,2023-11-28 01:26:15,IP Address,173.169.205.255,100,174,True,2023-11-28 01:26:16,R_3K0FfLrD2yCvvIR,,,,,27.9247,-82.5105,anonymous,EN,9,4,385,617,26,5’7,200,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Slightly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Male,Active Duty,Moderate,Independent,"Some college, no degree",Mixed,79
2023-11-28 10:04:12,2023-11-28 10:07:00,IP Address,174.194.98.21,100,168,True,2023-11-28 10:07:01,R_895qSD8OKLhygeZ,,,,,42.2645,-88.0034,anonymous,EN,7,5,245,405,12,72,190,,,,,,,,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Male,Veteran,Moderate,Independent,4 year degree,White,40
2023-11-21 17:03:54,2023-11-21 17:06:22,IP Address,47.187.237.173,53,148,False,2023-11-28 17:06:25,R_3JjUCRUXKae6i2s,,,,,,,anonymous,EN,,,,,,,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,No Military Experience,Liberal,Democrat,"Some college, no degree",Hispanic or Latino,76
2023-11-28 20:58:34,2023-11-28 21:00:49,IP Address,73.132.67.240,100,135,True,2023-11-28 21:00:50,R_1dudzzU6XaO4qj4,,,,,38.93,-77.35,anonymous,EN,,7-10,Don’t know,Idk,10,"66 inches ",128,Strongly Disagree,,,,,,,,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,Veteran,Liberal,Independent,Post Grad,White,50
2023-11-29 12:31:19,2023-11-29 12:35:51,IP Address,166.198.157.21,100,271,True,2023-11-29 12:35:52,R_3snWDfNR8Ur0mZU,,,,,28.5788,-81.4396,anonymous,EN,,7,315,415,28,73,212,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Slightly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Slightly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Male,Veteran,Slightly Conservative,Republican,"Some college, no degree",White,74
2023-11-29 12:38:44,2023-11-29 12:41:40,IP Address,65.112.8.30,100,176,True,2023-11-29 12:41:41,R_yn1CjO5sAaEmATf,,,,,42.3737,-71.1284,anonymous,EN,,0,Idk,Idk,Idk,5’ 3”,125 lbs,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Female,No Military Experience,Very Liberal,Democrat,"Some college, no degree",Asian,73
2023-11-29 12:44:20,2023-11-29 13:03:54,IP Address,76.83.161.251,100,1174,True,2023-11-29 13:03:55,R_21nW4BVF9e2vOMM,,,,,21.4254,-157.8138,anonymous,EN,7,5 days a week,120lbs,204lbs,9,58inches,118,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Somewhat Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Slightly Agree,Slightly Disagree,Female,Active Duty,Moderate,Independent,4 year degree,Hispanic or Latino,80
2023-11-29 16:10:25,2023-11-29 16:16:01,IP Address,3.133.131.157,100,335,True,2023-11-29 16:16:02,R_3iEXKakMDLaZW2u,,,,,39.9587,-82.9987,anonymous,EN,8,4,275,350,18,71,200,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Male,Active Duty,Moderate,Republican,High school,White,79
2023-11-29 16:36:02,2023-11-29 16:39:51,IP Address,76.39.21.110,100,229,True,2023-11-29 16:39:52,R_DCe7jOAfdGIqV8Z,,,,,21.4082,-157.7396,anonymous,EN,8,5,200,"345 ",20,70,200,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Slightly Agree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Male,Active Duty,Slightly Conservative,Republican,2 year degree,Hispanic or Latino,88
